Age (ka),1313 L* Depth (amcd),1313 L*,1313 L* Norm Detrend
3395.595,157.25,84.10,0.7986
3396.608,157.30,83.59,0.7075
3397.621,157.35,82.78,0.5632
3398.633,157.40,82.04,0.4314
3399.646,157.45,80.50,0.1579
3400.659,157.50,81.57,0.3466
3401.672,157.55,81.53,0.3387
3402.684,157.60,80.89,0.2246
3403.697,157.65,80.74,0.1972
3404.709,157.70,79.70,0.0123
3405.722,157.75,80.97,0.2364
3406.735,157.80,78.83,-0.1434
3407.748,157.85,79.47,-0.0308
3408.76,157.90,78.92,-0.1290
3409.773,157.95,79.04,-0.1086
3410.786,158.00,77.09,-0.4547
3411.799,158.05,75.79,-0.6857
3412.811,158.10,75.90,-0.6670
3413.824,158.15,78.98,-0.1223
3414.836,158.20,79.02,-0.1160
3415.849,158.25,80.04,0.0638
3416.862,158.30,80.95,0.2242
3417.875,158.35,80.76,0.1898
3418.887,158.40,82.84,0.5574
3419.9,158.45,84.08,0.7762
3420.913,158.50,84.22,0.8002
3421.925,158.55,83.93,0.7480
3422.938,158.60,83.42,0.6569
3423.95,158.65,83.59,0.6863
3424.963,158.70,82.44,0.4818
3425.976,158.75,83.89,0.7378
3426.989,158.80,83.34,0.6396
3428.001,158.85,82.49,0.4883
3429.014,158.90,82.15,0.4273
3430.027,158.95,82.32,0.4566
3431.04,159.00,81.87,0.3762
3432.052,159.05,81.28,0.2709
3433.065,159.10,80.85,0.1939
3434.077,159.15,81.11,0.2392
3435.09,159.20,78.91,-0.1512
3436.103,159.25,80.83,0.1880
3437.116,159.30,82.24,0.4370
3438.128,159.35,82.11,0.4132
3439.141,159.40,83.22,0.6090
3440.154,159.45,82.14,0.4169
3441.166,159.50,83.43,0.6446
3442.179,159.55,80.86,0.1886
3443.192,159.60,80.72,0.1631
3444.204,159.65,84.83,0.8902
3445.217,159.70,84.92,0.9053
3446.23,159.75,85.30,0.9718
3447.242,159.80,85.38,0.9852
3448.255,159.85,83.97,0.7347
3449.268,159.90,83.01,0.5639
3450.281,159.95,84.17,0.7686
3451.293,160.00,83.49,0.6474
3452.306,160.05,82.36,0.4464
3453.319,160.10,81.24,0.2473
3454.331,160.15,80.98,0.2005
3455.344,160.20,80.07,0.0385
3456.357,160.25,80.32,0.0820
3457.369,160.30,80.90,0.1840
3458.382,160.35,81.48,0.2859
3459.395,160.40,77.15,-0.4817
3460.407,160.45,79.56,-0.0557
3461.42,160.50,78.93,-0.1681
3462.433,160.55,81.18,0.2296
3463.446,160.60,78.33,-0.2759
3464.458,160.65,83.05,0.5592
3465.471,160.70,83.84,0.6983
3466.483,160.75,85.23,0.9437
3467.496,160.80,85.22,0.9412
3468.509,160.85,85.52,0.9935
3469.521,160.90,85.81,1.0441
3470.534,160.95,86.25,1.1212
3471.547,161.00,85.45,0.9788
3472.56,161.05,84.18,0.7531
3473.573,161.10,81.71,0.3148
3474.585,161.15,85.89,1.0543
3475.598,161.20,84.77,0.8552
3476.61,161.25,85.17,0.9253
3477.623,161.30,84.79,0.8572
3478.636,161.35,83.37,0.6049
3479.648,161.40,80.47,0.0905
3480.661,161.45,81.44,0.2615
3481.674,161.50,80.77,0.1421
3482.687,161.55,80.96,0.1750
3483.699,161.60,82.26,0.4044
3484.712,161.65,82.09,0.3735
3485.724,161.70,80.66,0.1195
3486.737,161.75,82.18,0.3879
3487.75,161.80,83.46,0.6138
3488.763,161.85,84.41,0.7812
3489.775,161.90,83.17,0.5608
3490.788,161.95,82.75,0.4857
3491.801,162.00,83.16,0.5575
3492.813,162.05,84.18,0.7374
3493.826,162.10,83.31,0.5825
3494.839,162.15,82.40,0.4206
3495.851,162.20,81.86,0.3241
3496.864,162.25,80.40,0.0648
3497.877,162.30,81.01,0.1720
3498.89,162.35,80.63,0.1039
3499.902,162.40,79.50,-0.0970
3500.915,162.45,79.13,-0.1633
3501.927,162.50,78.23,-0.3234
3502.94,162.55,78.80,-0.2233
3503.953,162.60,76.49,-0.6332
3504.965,162.65,79.84,-0.0407
3505.978,162.70,79.57,-0.0893
3506.991,162.75,79.97,-0.0192
3508.004,162.80,80.34,0.0455
3509.016,162.85,80.69,0.1067
3510.029,162.90,80.98,0.1573
3511.042,162.95,83.28,0.5638
3512.054,163.00,82.54,0.4320
3513.067,163.05,83.47,0.5959
3514.08,163.10,85.78,1.0042
3515.092,163.15,85.97,1.0371
3516.105,163.20,85.21,0.9017
3517.118,163.25,85.64,0.9771
3518.131,163.30,85.16,0.8913
3519.143,163.35,86.36,1.1030
3520.156,163.40,85.15,0.8880
3521.168,163.45,87.01,1.2166
3522.181,163.50,86.67,1.1556
3523.194,163.55,86.01,1.0379
3524.207,163.60,86.40,1.1062
3525.219,163.65,83.98,0.6768
3526.232,163.70,83.90,0.6619
3527.245,163.75,83.03,0.5070
3528.257,163.80,80.65,0.0847
3529.27,163.85,83.33,0.5586
3530.283,163.90,80.66,0.0849
3531.295,163.95,85.02,0.8563
3532.308,164.00,85.34,0.9122
3533.321,164.05,84.68,0.7945
3534.333,164.10,82.54,0.4147
3535.346,164.15,83.52,0.5875
3536.359,164.20,82.07,0.3299
3537.372,164.25,81.12,0.1609
3538.384,164.30,78.86,-0.2401
3539.397,164.35,79.17,-0.1860
3540.409,164.40,80.05,-0.0310
3541.422,164.45,81.85,0.2870
3542.435,164.50,80.76,0.0932
3543.448,164.55,81.74,0.2660
3544.46,164.60,82.10,0.3290
3545.473,164.65,82.52,0.4026
3546.486,164.70,82.33,0.3681
3547.498,164.75,81.11,0.1513
3548.511,164.80,80.45,0.0336
3549.524,164.85,81.61,0.2382
3550.536,164.90,79.56,-0.1256
3551.549,164.95,79.06,-0.2149
3552.562,165.00,81.98,0.3014
3553.574,165.05,82.55,0.4016
3554.587,165.10,83.09,0.4964
3555.6,165.15,82.62,0.4124
3556.613,165.20,83.24,0.5214
3557.625,165.25,82.08,0.3152
3558.638,165.30,82.70,0.4242
3559.651,165.35,82.77,0.4358
3560.663,165.40,82.48,0.3837
3561.676,165.45,82.09,0.3138
3562.689,165.50,84.87,0.8054
3563.701,165.55,82.93,0.4610
3564.714,165.60,85.60,0.9331
3565.727,165.65,84.08,0.6631
3566.739,165.70,83.66,0.5880
3567.752,165.75,83.82,0.6155
3568.765,165.80,83.67,0.5882
3569.778,165.85,82.86,0.4439
3570.79,165.90,82.48,0.3758
3571.803,165.95,79.77,-0.1049
3572.815,166.00,82.84,0.4380
3573.828,166.05,81.46,0.1928
3574.841,166.10,82.36,0.3514
3575.854,166.15,81.41,0.1824
3576.866,166.20,81.47,0.1923
3577.879,166.25,80.33,-0.0104
3578.892,166.30,78.21,-0.3867
3579.905,166.35,79.68,-0.1271
3580.917,166.40,79.58,-0.1456
3581.93,166.45,79.51,-0.1588
3582.942,166.50,79.50,-0.1613
3583.955,166.55,79.59,-0.1462
3584.968,166.60,80.24,-0.0319
3585.98,166.65,79.42,-0.1779
3586.993,166.70,81.05,0.1100
3588.006,166.75,80.57,0.0242
3589.019,166.80,81.22,0.1386
3590.031,166.85,81.42,0.1732
3591.044,166.90,81.97,0.2698
3592.057,166.95,81.87,0.2513
3593.069,167.00,81.50,0.1850
3594.082,167.05,82.03,0.2781
3595.095,167.10,76.92,-0.6277
3596.107,167.15,77.81,-0.4708
3597.12,167.20,81.42,0.1677
3598.133,167.25,80.98,0.0890
3599.146,167.30,81.73,0.2210
3600.158,167.35,81.44,0.1689
3601.171,167.40,82.73,0.3966
3602.183,167.45,83.08,0.4578
3603.196,167.50,83.01,0.4446
3604.209,167.55,83.89,0.5996
3605.222,167.60,83.08,0.4554
3606.234,167.65,84.32,0.6742
3607.247,167.70,83.88,0.5955
3608.26,167.75,83.12,0.4601
3609.272,167.80,84.08,0.6294
3610.285,167.85,83.66,0.5542
3611.298,167.90,83.79,0.5764
3612.31,167.95,83.52,0.5278
3613.323,168.00,83.67,0.5536
3614.336,168.05,83.00,0.4342
3615.348,168.10,84.50,0.6990
3616.361,168.15,83.18,0.4645
3617.374,168.20,82.79,0.3946
3618.386,168.25,81.95,0.2451
3619.399,168.30,82.42,0.3275
3620.412,168.35,82.64,0.3657
3621.424,168.40,81.74,0.2055
3622.437,168.45,80.92,0.0595
3623.45,168.50,80.35,-0.0422
3624.463,168.55,81.17,0.1022
3625.475,168.60,75.64,-0.8779
3626.488,168.65,80.06,-0.0959
3627.5,168.70,79.43,-0.2083
3628.513,168.75,80.02,-0.1046
3629.526,168.80,80.99,0.0664
3630.539,168.85,77.85,-0.4905
3631.551,168.90,81.10,0.0843
3632.564,168.95,80.79,0.0286
3633.577,169.00,82.06,0.2528
3634.589,169.05,82.31,0.2963
3635.602,169.10,82.75,0.3734
3636.615,169.15,82.94,0.4063
3637.627,169.20,83.24,0.4586
3638.64,169.25,82.91,0.3994
3639.653,169.30,82.56,0.3366
3640.666,169.35,82.83,0.3837
3641.678,169.40,82.86,0.3882
3642.691,169.45,84.02,0.5928
3643.704,169.50,84.38,0.6558
3644.716,169.55,85.04,0.7719
3645.729,169.60,80.87,0.0326
3646.741,169.65,84.88,0.7420
3647.754,169.70,84.44,0.6633
3648.767,169.75,82.70,0.3543
3649.78,169.80,83.72,0.5342
3650.792,169.85,82.44,0.3067
3651.805,169.90,83.41,0.4777
3652.818,169.95,82.87,0.3813
3653.831,170.00,82.77,0.3628
3654.843,170.05,80.72,-0.0010
3655.856,170.10,80.32,-0.0726
3656.868,170.15,78.13,-0.4613
3657.881,170.20,78.91,-0.3239
3658.894,170.25,82.07,0.2349
3659.907,170.30,81.56,0.1438
3660.919,170.35,81.00,0.0439
3661.932,170.40,80.06,-0.1234
3662.945,170.45,79.42,-0.2375
3663.957,170.50,78.73,-0.3605
3664.97,170.55,79.44,-0.2356
3665.983,170.60,77.97,-0.4967
3666.995,170.65,77.82,-0.5240
3668.008,170.70,75.64,-0.9109
3669.021,170.75,77.48,-0.5858
3670.033,170.80,77.78,-0.5335
3671.046,170.85,77.30,-0.6193
3672.059,170.90,77.95,-0.5049
3673.071,170.95,78.50,-0.4083
3674.084,171.00,78.10,-0.4799
3675.097,171.05,76.97,-0.6809
3676.11,171.10,79.91,-0.1610
3677.122,171.15,80.34,-0.0856
3678.135,171.20,81.68,0.1509
3679.148,171.25,80.85,0.0032
3680.16,171.30,82.97,0.3778
3681.173,171.35,83.17,0.4125
3682.186,171.40,83.41,0.4542
3683.198,171.45,83.12,0.4020
3684.211,171.50,82.99,0.3782
3685.224,171.55,83.80,0.5209
3686.237,171.60,81.62,0.1340
3687.249,171.65,80.63,-0.0421
