Age (ka),LRO4 Depth (amcd),LRO4 d18O,LRO4 d18O Norm Detrend
1372,,4.284,-1.2572
1374,,4.206,-1.0289
1376,,4.082,-0.6648
1378,,4.197,-1.0060
1380,,4.054,-0.5859
1382,,3.965,-0.3251
1384,,3.823,0.0921
1386,,3.722,0.3883
1388,,3.614,0.7051
1390,,3.719,0.3935
1392,,3.588,0.7782
1394,,3.701,0.4429
1396,,3.542,0.9102
1398,,3.495,1.0471
1400,,3.556,0.8652
1402,,3.646,0.5978
1404,,3.714,0.3954
1406,,3.976,-0.3796
1408,,3.965,-0.3489
1410,,4.222,-1.1091
1412,,4.359,-1.5152
1414,,4.217,-1.0980
1416,,3.955,-0.3268
1418,,3.842,0.0048
1420,,3.964,-0.3570
1422,,3.805,0.1103
1424,,3.747,0.2796
1426,,3.719,0.3604
1428,,3.567,0.8071
1430,,3.513,0.9646
1432,,3.382,1.3493
1434,,3.39,1.3239
1436,,3.227,1.8030
1438,,3.243,1.7539
1440,,3.288,1.6193
1442,,3.338,1.4699
1444,,3.334,1.4799
1446,,3.35,1.4309
1448,,3.342,1.4526
1450,,3.499,0.9875
1452,,3.826,0.0208
1454,,4.25,-1.2321
1456,,4.311,-1.4140
1458,,4.238,-1.2004
1460,,4.099,-0.7921
1462,,4.071,-0.7113
1464,,4.218,-1.1469
1466,,3.995,-0.4907
1468,,3.865,-0.1090
1470,,3.636,0.5649
1472,,3.424,1.1886
1474,,3.38,1.3166
1476,,3.316,1.5037
1478,,3.441,1.1330
1480,,3.392,1.2757
1482,,3.444,1.1205
1484,,3.567,0.7557
1486,,3.403,1.2378
1488,,3.424,1.1740
1490,,3.536,0.8416
1492,,3.703,0.3470
1494,,4.082,-0.7731
1496,,4.307,-1.4389
1498,,4.239,-1.2401
1500,,4.198,-1.1209
1503,,4.292,-1.4010
1505,,4.221,-1.1934
1508,,4.096,-0.8273
1510,,4.02,-0.6049
1513,,3.741,0.2156
1515,,3.694,0.3525
1518,,3.786,0.0783
1520,,3.657,0.4571
1523,,3.662,0.4396
1525,,3.697,0.3344
1528,,3.875,-0.1935
1530,,3.984,-0.5170
1533,,4.182,-1.1040
1535,,4.385,-1.7048
1538,,4.352,-1.6102
1540,,4.383,-1.7035
1543,,4.333,-1.5587
1545,,4.071,-0.7875
1548,,3.958,-0.4568
1550,,3.823,-0.0603
1553,,3.679,0.3618
1555,,3.721,0.2361
1558,,3.788,0.0356
1560,,3.751,0.1430
1563,,3.577,0.6536
1565,,3.558,0.7079
1568,,3.727,0.2064
1570,,3.839,-0.1259
1573,,4.174,-1.1171
1575,,4.231,-1.2872
1578,,4.192,-1.1748
1580,,3.995,-0.5954
1583,,4.036,-0.7191
1585,,3.775,0.0492
1588,,3.662,0.3799
