Age (ka),Alkane Depth (amcd),Alkanes (ng/g)
2637.1,125.19,40.66
2642.19,125.39,47.55
2644.73,125.49,76.44
2647.13,125.59,83.99
2649.84,125.71,44.88
2651.65,125.79,44.64
2656.16,125.99,21.17
2658.42,126.09,23.63
2660.68,126.19,19.37
2662.94,126.29,16.55
2665.19,126.39,17.72
2667.45,126.49,18.04
2669.71,126.59,13.57
2671.97,126.69,15.6
2674.23,126.79,15.63
2676.48,126.89,19.29
2678.74,126.99,19.66
2681,127.09,20.84
2683.26,127.19,32.94
2683.71,127.21,33.31
2685.52,127.29,49.68
2687.77,127.39,91.4
2689.43,127.49,118.69
2691.02,127.59,103.6
2692.61,127.69,78.37
2694.2,127.79,75.61
2695.8,127.89,60.55
2697.39,127.99,66.48
2698.98,128.09,57.92
2700.57,128.19,58.65
2702.16,128.29,68.96
2703.75,128.39,106.58
2705.34,128.49,119.25
2706.93,128.59,132.28
2708.52,128.69,119.36
2708.84,128.71,113.87
2710.11,128.79,116.65
2711.7,128.89,203.86
2713.3,128.99,156.07
2714.89,129.09,172.57
2716.73,129.19,220.26
2719.17,129.29,165.72
2721.61,129.39,164.39
2724.05,129.49,125.67
2726.49,129.59,169.04
2728.93,129.69,144.72
2731.37,129.79,116.67
2733.8,129.89,64.43
2736.24,129.99,61.43
2738.68,130.09,38.01
2741.12,130.19,26.45
2741.61,130.21,21.4
2743.56,130.29,29.84
2746,130.39,21.79
2748.44,130.49,16.58
2750.88,130.59,24.45
2753.32,130.69,9.54
2755.76,130.79,28.05
2758.2,130.89,28.18
2760.63,130.99,28.95
2763.07,131.09,31.88
2765.51,131.19,41.47
2767.95,131.29,39.04
2770.39,131.39,23.4
2772.83,131.49,26.8
2775.27,131.59,27.85
2777.71,131.69,16.11
2778.2,131.71,5.19
2780.15,131.79,12.81
2785.02,131.99,11.53
2787.46,132.09,18.51
2789.9,132.19,20.5
2791.85,132.27,23.76
2794.78,132.39,27.69
2804.05,132.77,122.62
2809.05,132.97,112.77
2813.89,133.16,56.65
2818.98,133.36,46.74
2823.82,133.55,29.57
2828.65,133.74,52.02
2829.16,133.76,15.15
2838.58,134.13,53.07
2843.67,134.33,54.54
2848.44,134.52,100.73
2852.89,134.72,74.78
2861.33,135.1,21.18
2864,135.22,21.68
2865.78,135.3,21.58
2874.44,135.69,39.15
2878.67,135.88,50.25
2887.34,136.27,82.46
2896.06,136.66,46.22
2896.5,136.68,9.33
2900.75,136.87,36.65
2905.44,137.08,20.72
2910.13,137.29,30.37
2914.83,137.5,22.25
2918.4,137.66,59.01
2918.85,137.68,41.35
2922.87,137.86,77.12
2927.28,138.06,73.81
2931.54,138.26,67.1
2935.8,138.46,69.24
2940.07,138.66,52.73
2944.33,138.86,64.39
2948.59,139.06,44.83
2951.15,139.18,17.91
2952.85,139.26,68.35
2957.11,139.46,21.11
2961.38,139.66,30.92
2965.64,139.86,23.29
2974.16,140.26,37.95
2978.4,140.46,70.43
2982.4,140.66,46.36
2982.8,140.68,27.5
2986.4,140.86,60.75
2990.4,141.06,42.47
2994.4,141.26,36.64
2996.4,141.36,41.55
2998.4,141.46,33.9
3000.4,141.56,64.84
3004.2,141.75,58.18
3006.4,141.86,61.89
3013.6,142.22,75.56
3017.6,142.42,92.91
3021.06,142.59,79.19
3025.75,142.82,47.53
3026.15,142.84,24.88
3030.64,143.06,59.13
3035.32,143.29,62.67
3039.61,143.5,59.27
3041.85,143.61,41.41
3044.09,143.72,97.26
3048.57,143.94,51.01
3055.06,144.21,56.07
3063.16,144.53,62.2
3065.44,144.62,15.81
3067.22,144.69,44.85
3068.99,144.76,15.47
3074.81,144.99,37.9
3078.86,145.15,29.89
3082.66,145.3,24.53
3086.46,145.45,27.7
3090.63,145.61,38.91
3095.32,145.76,28.79
3095.63,145.77,16.64
3100.01,145.91,27.11
3105.02,146.07,32.76
3109.71,146.22,32.03
3114.41,146.37,12.64
3119.41,146.53,30.56
3124.11,146.68,39.72
3128.8,146.83,60.21
3131.93,146.93,32.35
3133.81,146.99,59.34
3137.96,147.15,63.37
3142.09,147.34,57.65
3146.43,147.54,35.08
3150.57,147.73,38.77
3153.39,147.86,22.68
3155.57,147.96,16.19
3157.74,148.06,19.6
3159.91,148.16,16.69
3164.26,148.36,34.99
3168.61,148.56,18.19
3172.96,148.76,35.59
3177.58,148.96,16.92
3178.11,148.98,17.5
3182.86,149.16,15.19
3188.13,149.36,14.66
3193.41,149.56,29.22
3198.68,149.76,10.85
3203.96,149.96,12.86
3209.23,150.16,19.02
3214.51,150.36,12.84
3217.67,150.48,11.25
3225.05,150.76,8.23
3230.33,150.96,9
3240.88,151.36,10.59
3246.15,151.56,15.88
3251.43,151.76,20.87
3254.07,151.86,35.21
3257.23,151.98,17.74
3259.34,152.06,20.49
3264.62,152.26,15.89
3269.89,152.46,32.6
3275.16,152.66,16.45
3285.71,153.06,29.01
3288.09,153.15,41.86
3290.99,153.26,50.28
3293.89,153.37,42.27
3298.62,153.58,73.53
3303.06,153.8,53.5
3307.5,154.02,103.01
3309.72,154.13,42.95
3312.35,154.26,32.28
3318.61,154.57,32.04
3323.05,154.79,19.22
3327.49,155.01,39.32
3335.36,155.4,10.94
3339.19,155.59,51.01
3342.47,155.69,24.13
3347.42,155.81,6.97
3350.72,155.89,10.05
3359.38,156.1,31.29
3369.28,156.34,12.62
3375.46,156.49,18.49
3382.16,156.7,12.84
3387.55,156.95,7.82
3394.46,157.27,11.07
3397.27,157.4,9.39
3408.06,157.9,23.24
3411.94,158.08,35.38
3412.16,158.09,20.88
3413.45,158.15,24.18
3416.26,158.28,9.62
3416.48,158.29,18.65
3417.77,158.35,23.89
3420.58,158.48,11.22
3420.58,158.48,24.07
3421.87,158.54,20.6
3424.89,158.68,20.59
3424.89,158.68,10.55
3429.64,158.9,21.74
3433.53,159.08,58.78
3437.84,159.28,26.79
3444.75,159.6,11.83
3449.07,159.8,21.26
3457.7,160.2,15.35
3462.02,160.4,32.51
3466.33,160.6,22.55
3470.65,160.8,16.56
3474.97,161,19.07
