Age (ka),Alkane Depth (amcd),Alkanes (ng/g)
371.22,16.66,41.88
371.59,16.68,49.14
371.96,16.7,37.08
372.33,16.72,43.18
372.7,16.74,36.65
373.08,16.76,49.1
373.63,16.79,54.84
374.01,16.81,56.55
374.38,16.83,50.78
374.75,16.85,68.4
375.12,16.87,62.15
375.49,16.89,75.83
376.24,16.93,46.94
376.61,16.95,23.66
376.98,16.97,25.38
377.35,16.99,27.98
377.72,17.01,27.09
378.12,17.03,29.69
378.54,17.05,24.73
378.96,17.07,23.69
379.38,17.09,31.11
379.8,17.11,30.98
380.42,17.14,26.12
380.84,17.16,26.12
381.26,17.18,22.86
381.68,17.2,26.27
382.1,17.22,26.38
382.51,17.24,24.01
382.93,17.26,28.15
383.77,17.3,31.15
384.19,17.32,40.86
384.61,17.34,56.63
385.02,17.36,49.61
385.44,17.38,44.01
385.86,17.4,22.75
386.28,17.42,29.83
386.7,17.44,22.88
387.11,17.46,34.1
387.74,17.49,29.16
388.16,17.51,40.23
388.58,17.53,49.08
389,17.55,60.6
389.41,17.57,82.43
389.83,17.59,89.97
390.25,17.61,119.35
390.67,17.63,115.79
391.09,17.65,114.22
391.51,17.67,55.19
391.92,17.69,42.13
392.34,17.71,42.32
392.76,17.73,18.79
393.18,17.75,16.02
393.6,17.77,22.97
394.01,17.79,21.16
394.43,17.81,18.35
394.85,17.83,20.47
395.48,17.86,14.33
395.9,17.88,17.66
396.32,17.9,16.24
396.73,17.92,13.45
397.15,17.94,21.25
397.57,17.96,9.53
397.99,17.98,12.77
398.41,18,13.67
398.82,18.02,16.5
399.24,18.04,13.26
399.66,18.06,7.94
400.08,18.08,11.14
400.5,18.1,15.51
400.92,18.12,14.54
401.33,18.14,48.21
401.75,18.16,10.02
402.17,18.18,8.55
402.59,18.2,14.12
403.22,18.23,10.54
403.63,18.25,13.43
404.05,18.27,12.37
404.47,18.29,9.89
404.89,18.31,8.11
405.31,18.33,9.97
405.73,18.35,13.33
406.14,18.37,7.1
406.56,18.39,16.28
407.4,18.43,12.22
407.82,18.45,12.55
408.23,18.47,9.54
408.65,18.49,10.32
409.07,18.51,13.75
409.49,18.53,8.51
409.91,18.55,12.15
410.32,18.57,8.22
410.95,18.6,14.2
411.79,18.64,12.13
412.21,18.66,12.58
412.62,18.68,8.33
413.04,18.7,12.43
413.46,18.72,7.73
413.88,18.74,8.74
414.3,18.76,7.85
414.72,18.78,7.51
415.13,18.8,19.67
415.34,18.81,7.74
415.76,18.83,14.28
