Age (ka),  SST Depth (amcd),SST (°C)
408.23,18.47,17.98
408.65,18.49,18.33
409.07,18.51,18.35
409.49,18.53,18.46
409.91,18.55,17.61
410.32,18.57,18.07
410.95,18.6,16.54
411.79,18.64,16.32
412.21,18.66,16.48
412.62,18.68,16.36
413.04,18.7,15.98
413.46,18.72,17.72
413.88,18.74,18.56
414.3,18.76,19.1
414.72,18.78,18.8
415.13,18.8,19.14
415.34,18.81,18.22
415.76,18.83,18.38
416.18,18.85,18.93
416.6,18.87,19.04
417.02,18.89,16.99
417.43,18.91,18.47
417.85,18.93,18.26
418.27,18.95,17.91
418.69,18.97,18.08
419.11,18.99,17.1
419.32,19,18.07
419.74,19.02,17.98
420.15,19.04,16.54
420.57,19.06,18
420.99,19.08,16.86
421.41,19.1,17.7
421.83,19.12,17.19
422.24,19.14,18.08
422.66,19.16,17.7
423.08,19.18,17.37
423.29,19.19,16.68
423.71,19.21,16.81
424.13,19.23,14.18
424.54,19.25,14.09
424.96,19.27,15.29
425.38,19.29,13.02
425.8,19.31,9.65
426.22,19.33,10.3
426.63,19.35,11.06
427.05,19.37,9.23
427.47,19.39,9.89
427.89,19.41,8.03
428.31,19.43,8.57
428.73,19.45,10.88
429.14,19.47,7.65
429.56,19.49,11.51
429.98,19.51,11.96
430.4,19.53,11.87
430.82,19.55,11.56
431.24,19.57,11.53
431.65,19.59,14.05
432.07,19.61,11.76
432.49,19.63,12.08
432.91,19.65,11.58
433.33,19.67,12.38
433.74,19.69,9.89
434.16,19.71,10.04
434.58,19.73,8.04
435,19.75,7.88
435.42,19.77,11.29
435.84,19.79,9.71
436.25,19.81,12.22
436.67,19.83,11.99
437.09,19.85,11.17
437.51,19.87,10.29
437.93,19.89,9.3
438.35,19.91,8.91
438.76,19.93,10.44
439.18,19.95,10.52
439.6,19.97,10.03
440.02,19.99,10.89
440.44,20.01,10.52
440.85,20.03,11.14
441.27,20.05,10.84
441.69,20.07,10.92
442.11,20.09,11.33
442.53,20.11,10.79
442.95,20.13,11.45
443.36,20.15,11.69
443.78,20.17,11.84
444.2,20.19,12.48
444.62,20.21,12.12
445.04,20.23,11.53
445.45,20.25,11.77
445.87,20.27,11.96
446.29,20.29,13.4
446.71,20.31,13.17
447.13,20.33,13.38
447.54,20.35,13.52
447.96,20.37,13.67
448.38,20.39,13.86
448.8,20.41,13.21
449.22,20.43,12.43
449.64,20.45,13.69
450.05,20.47,13.42
450.47,20.49,15.18
450.89,20.51,14.35
451.31,20.53,14.08
451.73,20.55,13.26
452.15,20.57,11.06
452.56,20.59,11.45
452.98,20.61,11.02
453.4,20.63,10.56
453.82,20.65,11.47
454.24,20.67,11.62
454.66,20.69,12.45
455.07,20.71,11.57
455.49,20.73,9.54
455.91,20.75,10.3
456.33,20.77,9.62
456.75,20.79,11.89
457.16,20.81,12.62
457.58,20.83,12.96
458,20.85,13.33
458.42,20.87,12.7
458.84,20.89,14.91
459.26,20.91,14.47
459.67,20.93,13.93
460.09,20.95,13.17
460.51,20.97,11.29
461.14,21,11.88
461.77,21.03,11.28
462.18,21.05,11.6
463.86,21.13,11.65
464.69,21.17,12.03
465.11,21.19,12.29
465.53,21.21,12.3
465.74,21.22,12.01
466.15,21.24,12.83
466.57,21.26,12.59
466.99,21.28,13.41
467.2,21.29,14.22
467.62,21.31,13.67
468.04,21.33,15.16
468.25,21.34,15.09
468.66,21.36,14
469.08,21.38,11.24
469.5,21.4,10.23
469.92,21.42,10.81
470.34,21.44,10.03
471.38,21.49,11.41
471.8,21.51,10.42
472.22,21.53,11.76
472.64,21.55,12.2
472.85,21.56,12.45
473.05,21.57,13.34
473.23,21.58,13.83
473.42,21.59,13.54
473.6,21.6,13.71
473.79,21.61,13.54
473.98,21.62,13.79
474.16,21.63,12.54
474.35,21.64,13.93
474.53,21.65,15
474.72,21.66,12.93
474.91,21.67,15.69
475.09,21.68,15.59
475.28,21.69,14.94
475.46,21.7,17.27
475.83,21.72,16.2
475.83,21.72,16.12
476.21,21.74,15.3
476.21,21.74,13.82
476.58,21.76,14.79
476.58,21.76,14.63
476.95,21.78,14.04
476.95,21.78,13.5
477.32,21.8,14.44
477.32,21.8,13.19
477.69,21.82,13.89
477.69,21.82,13.69
478.06,21.84,13.04
478.06,21.84,13.87
478.4,21.86,12.73
478.73,21.88,12.82
479.06,21.9,12.62
479.4,21.92,15.57
479.73,21.94,15.14
480.07,21.96,16.5
480.4,21.98,16.52
480.74,22,14.46
481.07,22.02,14.89
481.41,22.04,13.67
481.74,22.06,13.58
482.08,22.08,13.39
482.41,22.1,13.67
482.74,22.12,13.51
483.08,22.14,13.73
483.41,22.16,13.46
483.75,22.18,15.8
484.08,22.2,14.36
484.75,22.24,16.58
485.09,22.26,15.19
485.42,22.28,14.42
485.76,22.3,14.89
486.09,22.32,14.95
486.43,22.34,14.98
486.76,22.36,16.2
487.09,22.38,15.97
487.43,22.4,16.25
487.76,22.42,14.09
488.1,22.44,16.8
488.43,22.46,15.75
488.77,22.48,16.9
489.1,22.5,15.21
489.44,22.52,16.7
490.11,22.56,16.59
490.44,22.58,16.93
491.11,22.62,17.9
491.44,22.64,17.75
491.78,22.66,18.83
492.11,22.68,17.85
492.78,22.72,18.84
493.12,22.74,17.65
493.45,22.76,15.68
493.79,22.78,18.48
494.12,22.8,17.09
494.45,22.82,17.98
494.79,22.84,16.85
495.12,22.86,16.69
495.46,22.88,17.52
495.79,22.9,16.23
496.13,22.92,17.6
496.46,22.94,17.57
497.13,22.98,17.29
497.47,23,19.94
497.8,23.02,18.3
498.13,23.04,17.87
498.47,23.06,17.4
498.8,23.08,17.44
499.47,23.12,17.09
499.81,23.14,16.01
500.14,23.16,17.05
500.48,23.18,17.46
500.81,23.2,16.01
501.1,23.22,16.98
501.38,23.24,16.42
501.66,23.26,16.42
501.94,23.28,18.21
502.2,23.3,20.16
502.42,23.32,17.81
502.64,23.34,16.6
502.87,23.36,16.53
503.09,23.38,16.74
503.31,23.4,16.68
503.54,23.42,15.37
503.76,23.44,15.51
503.98,23.46,15.94
504.2,23.48,15.82
504.43,23.5,16.1
504.65,23.52,16.73
504.87,23.54,15.99
505.1,23.56,15.66
505.32,23.58,15.61
505.54,23.6,16
505.77,23.62,16.14
505.99,23.64,16.1
506.21,23.66,16.1
506.43,23.68,14.76
506.66,23.7,15.36
506.88,23.72,14.5
507.1,23.74,13.96
507.33,23.76,16.99
507.55,23.78,16.46
507.77,23.8,16.65
508,23.82,16.84
508.22,23.84,16.3
508.44,23.86,16.07
508.67,23.88,16.22
508.89,23.9,16.49
509.11,23.92,15.19
509.33,23.94,15.33
509.56,23.96,14.74
509.78,23.98,14.05
510,24,14.16
510.23,24.02,14.13
510.45,24.04,15.24
510.67,24.06,16.23
510.9,24.08,16.37
511.12,24.1,16.84
511.34,24.12,16.74
511.56,24.14,16.41
511.79,24.16,16.95
512.01,24.18,16.72
512.23,24.2,17.37
512.46,24.22,17.08
512.68,24.24,17.23
512.9,24.26,17
513.13,24.28,17.59
513.35,24.3,16.69
513.57,24.32,16.94
513.8,24.34,16.86
514.02,24.36,17.04
514.24,24.38,17.32
514.46,24.4,17.04
514.69,24.42,16.74
514.91,24.44,17.62
515.13,24.46,17.94
515.36,24.48,17.48
515.58,24.5,16.92
515.8,24.52,16.43
516.03,24.54,17.44
516.25,24.56,16.57
516.47,24.58,17.28
516.69,24.6,17.43
516.92,24.62,16.63
517.14,24.64,16.77
517.36,24.66,16.94
517.59,24.68,16.71
517.81,24.7,17.12
518.03,24.72,16.86
518.26,24.74,17.21
518.48,24.76,17.15
518.7,24.78,17.16
518.93,24.8,16.78
519.15,24.82,16.97
519.37,24.84,16.32
519.59,24.86,16.56
519.82,24.88,17.38
520.04,24.9,16.89
520.26,24.92,16.72
520.49,24.94,16.4
520.71,24.96,17.21
520.93,24.98,16.75
521.16,25,17
521.38,25.02,17.77
521.6,25.04,16.79
521.82,25.06,17.54
522.05,25.08,17.9
522.27,25.1,16.57
522.49,25.12,16.93
522.72,25.14,17.44
522.94,25.16,16.68
523.16,25.18,16.43
523.39,25.2,16.99
523.61,25.22,16.73
523.83,25.24,16.98
524.06,25.26,16.78
524.28,25.28,17.16
524.5,25.3,17.16
524.72,25.32,17.14
524.95,25.34,16.98
525.17,25.36,17.06
525.39,25.38,17.03
525.62,25.4,17.26
525.84,25.42,16.82
526.06,25.44,16.9
526.29,25.46,17.07
526.51,25.48,16.62
526.73,25.5,15.85
526.95,25.52,15.63
527.18,25.54,15.4
527.4,25.56,15.55
527.62,25.58,15.97
527.85,25.6,15.85
528.07,25.62,16.39
528.29,25.64,16.49
528.52,25.66,16.88
528.74,25.68,16.68
528.96,25.7,15.69
529.19,25.72,16.43
529.41,25.74,16.59
529.63,25.76,16.52
529.85,25.78,16.75
530.08,25.8,15.99
530.3,25.82,16.26
530.52,25.84,16.03
530.75,25.86,16.14
530.97,25.88,16.56
531.19,25.9,16.03
531.42,25.92,16.45
531.64,25.94,16.84
531.86,25.96,16.75
532.08,25.98,16.25
532.31,26,16.04
532.53,26.02,16.49
532.75,26.04,16.1
532.98,26.06,16.53
533.2,26.08,16.48
533.42,26.1,16.06
533.65,26.12,16.44
533.87,26.14,16.19
534.09,26.16,16.31
534.32,26.18,15.8
534.32,26.18,12.96
534.54,26.2,12.23
534.54,26.2,15.01
534.76,26.22,14.79
534.87,26.23,11.98
534.98,26.24,14.19
535.1,26.25,12.05
535.21,26.26,14.43
535.32,26.27,12.8
535.43,26.28,14.16
535.54,26.29,11.19
535.65,26.3,12.85
535.77,26.31,11.83
535.88,26.32,11.69
535.99,26.33,12.79
536.1,26.34,11.71
536.21,26.35,12.41
536.32,26.36,11.76
536.43,26.37,13.74
536.55,26.38,12.06
536.66,26.39,14.26
