Age (ka),  SST Depth (amcd),SST (°C)
2823.82,133.55,21.79
2828.65,133.74,21.37
2829.16,133.76,20.48
2833.75,133.94,20.22
2838.58,134.13,18.25
2843.67,134.33,18.36
2848.44,134.52,17.86
2852.89,134.72,17.88
2857.11,134.91,16.71
2861.33,135.1,19.27
2864,135.22,21.32
2865.78,135.3,17.92
2870,135.49,17.6
2874.44,135.69,18.53
2878.67,135.88,17.22
2882.89,136.07,17.96
2887.34,136.27,18.4
2891.59,136.46,18.9
2896.06,136.66,20.13
2896.5,136.68,20.6
2900.75,136.87,20.81
2905.44,137.08,20.82
2910.13,137.29,19.54
2914.83,137.5,16.73
2918.4,137.66,17.53
2918.85,137.68,18.12
2920.64,137.76,18.32
2922.87,137.86,18.76
2927.28,138.06,17.24
2931.54,138.26,17.52
2935.8,138.46,18.3
2940.07,138.66,17.78
2944.33,138.86,19.25
2948.59,139.06,20.44
2951.15,139.18,21.1
2952.85,139.26,22.81
2957.11,139.46,21.39
2961.38,139.66,21.56
2965.64,139.86,22.67
2974.16,140.26,20.42
2978.4,140.46,19.44
2982.4,140.66,19.5
2982.8,140.68,20.02
2986.4,140.86,19.82
2990.4,141.06,18.9
2994.4,141.26,18.66
2996.4,141.36,19.18
2998.4,141.46,19.72
3000.4,141.56,19.61
3004.2,141.75,20.59
3006.4,141.86,19.84
3013.6,142.22,18.66
3017.6,142.42,18.18
3021.06,142.59,18.02
3025.75,142.82,17.72
3026.15,142.84,19.96
3030.64,143.06,19.83
3035.32,143.29,20.21
3039.61,143.5,19.59
3041.85,143.61,20.74
3044.09,143.72,21.19
3048.57,143.94,19.42
3055.06,144.21,20.1
3063.16,144.53,18.85
3065.44,144.62,20.7
3067.22,144.69,19.25
3068.99,144.76,21.39
3074.81,144.99,22.05
3078.86,145.15,21.48
3082.66,145.3,21.78
3086.46,145.45,21.59
3090.63,145.61,20.95
3095.32,145.76,21.24
3095.63,145.77,22.27
3100.01,145.91,21.04
3105.02,146.07,20.48
3109.71,146.22,21.28
3114.41,146.37,20.72
3119.41,146.53,20.6
3124.11,146.68,20.29
3128.8,146.83,19.04
3131.93,146.93,20.04
3133.81,146.99,18.38
3137.96,147.15,18.47
3142.09,147.34,18.44
3146.43,147.54,21.47
3150.57,147.73,22.47
3153.39,147.86,22.13
3155.57,147.96,22.34
3157.74,148.06,23.32
3159.91,148.16,21.48
3164.26,148.36,21.11
3168.61,148.56,20.87
3172.96,148.76,21.47
3177.58,148.96,21.2
3178.11,148.98,21.86
3182.86,149.16,21.01
3188.13,149.36,21.7
3193.41,149.56,21.28
3198.68,149.76,21.57
3203.96,149.96,21.69
3209.23,150.16,21.65
3214.51,150.36,20.16
3217.67,150.48,20.37
3219.78,150.56,21.49
3225.05,150.76,19.02
3230.33,150.96,20.16
3240.88,151.36,21.41
3246.15,151.56,20.37
3251.43,151.76,20.4
3254.07,151.86,19.19
3257.23,151.98,20.95
3259.34,152.06,20.69
3264.62,152.26,19.56
3269.89,152.46,19.93
3275.16,152.66,20.6
3280.44,152.86,21.63
3285.71,153.06,19.15
3288.09,153.15,17.29
3290.99,153.26,16.84
3293.89,153.37,17.07
3298.62,153.58,18.02
3303.06,153.8,17.71
3307.5,154.02,17.19
3309.72,154.13,17.88
3312.35,154.26,19.01
3314.17,154.35,20.88
3318.61,154.57,20.02
3323.05,154.79,19.56
3327.49,155.01,19.61
3335.36,155.4,20.98
3339.19,155.59,20.99
3342.47,155.69,18.65
3347.42,155.81,19.8
3350.72,155.89,20.75
3359.38,156.1,22.17
3369.28,156.34,17.64
3375.46,156.49,19.19
3382.16,156.7,19.26
3387.55,156.95,19.67
3394.46,157.27,18.91
3397.27,157.4,19.89
3398.99,157.48,18.13
3403.74,157.7,17.77
3408.06,157.9,18.85
3411.94,158.08,19.19
3412.16,158.09,18.32
3413.45,158.15,17.84
3416.26,158.28,21.4
3416.48,158.29,18.29
3417.77,158.35,19.72
3420.58,158.48,19.07
3420.58,158.48,20.61
3421.87,158.54,19.76
3424.89,158.68,17.74
3424.89,158.68,19.87
3429.64,158.9,20.01
3433.53,159.08,20.3
3437.84,159.28,18.98
3444.75,159.6,20.34
3449.07,159.8,19.58
3453.38,160,20.32
3457.7,160.2,20.34
3462.02,160.4,20.05
3466.33,160.6,20.22
3470.65,160.8,20.89
3474.97,161,20.83
