Age,d180,d180N,L*,SST,Alkane,Alkanol,Sediment,Red,Green,Blue,Grey
414,3.415,0.7867956309999999,1.0859642520000001,-1.632206459,-0.154527121,0.7637372109999999,2.973819181,1.13205724,1.1973049470000001,1.4644222690000002,1.213407157
415,3.4139999999999997,0.788800277,1.068756083,-1.6310434980000001,-0.15459878400000002,0.7637372109999999,3.014533993,1.2899377,1.310662773,1.3936537709999999,1.320268239
416,3.505,0.606377493,0.6205695139999999,-1.629699506,-0.156937924,0.7712158709999999,3.072311995,1.283314892,1.308785872,1.3650804440000002,1.313209624
417,3.572,0.47206621200000004,0.799820698,-1.636722512,-0.157948797,0.7712158709999999,3.1523213919999997,0.639487123,0.68244551,0.8447440209999999,0.69389649
418,3.748,0.11924852,0.9178925840000001,-1.646750542,-0.158426776,0.7712158709999999,3.2135907689999996,1.02118705,1.061996522,1.111116029,1.059966668
419,3.806,0.002979054,0.911441735,-1.656172659,-0.157917222,0.7726445409999999,3.2941539489999996,1.04325181,1.08885062,1.0188905879999999,1.069432444
420,3.7710000000000004,0.073141663,0.7351184070000001,-1.6647377380000001,-0.159086228,0.77834402,3.3685811219999997,0.9169181479999999,0.960927957,0.860359682,0.9394887409999999
421,3.847,-0.079211432,0.520584946,-1.6726070259999999,-0.159512204,0.77834402,3.432791302,0.42821834200000003,0.495536539,0.513879523,0.478839067
422,3.943,-0.271657446,0.352592334,-1.684376415,-0.15604574300000001,0.77834402,3.507498276,-1.363231263,-1.23147667,-1.035899546,-1.2526534679999999
423,4.021,-0.42801983200000004,0.15169923300000002,-1.6973322880000001,-0.14572236,0.77834402,3.5750047639999996,-2.086655612,-1.92827055,-1.6987110559999998,-1.9561127759999999
424,3.9210000000000003,-0.227555234,-0.160781105,-1.709101042,-0.131513156,0.77834402,3.6423728239999997,-2.929736565,-2.742334601,-2.47500158,-2.777700182
425,4.303999999999999,-0.995334644,-0.529304135,-1.716225296,-0.115901918,0.780983348,3.709261244,-3.0768007710000003,-2.88135522,-2.602664994,-2.9182948910000004
426,4.504,-1.396263839,-1.28186333,-1.720876099,-0.11060639,0.782744465,3.768823665,-3.136259903,-2.93807032,-2.6553696280000003,-2.975603665
427,4.303999999999999,-0.995334644,-1.9848139409999999,-1.7187691059999999,-0.11190044800000001,0.782744465,3.8315858869999997,-3.2381450110000003,-3.037077296,-2.752925527,-3.075705405
428,4.7219999999999995,-1.8332766630000001,-2.2026651569999998,-1.7077307940000002,-0.121188515,0.782744465,3.889473017,-3.0272773230000003,-2.8318533589999997,-2.537351045,-2.866717022
429,4.915,-2.2201733359999998,-2.245444417,-1.690275305,-0.132778063,0.782744465,3.953568065,-2.9991087260000002,-2.8030588439999997,-2.518899261,-2.8392532719999997
430,4.98,-2.350475325,-2.125289852,-1.6762729459999999,-0.126133363,0.7852885209999999,4.009615108,-2.61946821,-2.437110416,-2.1661718640000003,-2.469310486
431,5.051,-2.4928051890000003,-2.026968151,-1.650373729,-0.159156099,0.785471693,4.074502178,-2.597935692,-2.414310721,-2.137115451,-2.446034334
432,5.051,-2.4928051890000003,-2.031681486,-1.63585675,-0.184908586,0.772694043,4.118377425,-2.7793716219999998,-2.5873820380000003,-2.309175581,-2.622182053
433,5.085,-2.5609631530000003,-2.156568488,-1.619233419,-0.217968422,0.772694043,4.1619225360000005,-2.681270891,-2.481031879,-2.213217771,-2.519058986
434,5.062,-2.514856295,-2.333162699,-1.602810511,-0.25053375899999997,0.772694043,4.183152837,-2.981027029,-2.7836397839999996,-2.506525541,-2.821014716
435,5.018,-2.426651872,-2.423108365,-1.5833080169999998,-0.31258120899999997,0.772694043,4.199175392,-2.568470533,-2.388910224,-2.122967538,-2.420646171
436,5.074,-2.5389120469999997,-2.220289123,-1.557918709,-0.360416904,0.764918456,4.211090246,-2.041650369,-1.8832509080000002,-1.627179471,-1.907723125
437,4.898,-2.186094355,-2.139173307,-1.5407337630000002,-0.415396376,0.7548500659999999,4.220957573,-1.1179325279999999,-0.925415964,-0.608118916,-0.949255188
438,4.793,-1.9756065269999998,-2.251568663,-1.537110395,-0.469354366,0.7548500659999999,4.226931443,0.203816445,0.433515035,0.756642393,0.405282961
439,4.875,-2.139987497,-1.931484554,-1.525983667,-0.502660722,0.7548500659999999,4.224590028,-0.040674594,0.160956534,0.499211268,0.141548169
