1313 L* Age (ka),1313 L* Depth (amcd),1313 L*,1313 L* Norm Detrend,LRO4 Age (ka),LRO4 Depth (amcd),LRO4 d18O,LRO4 d18O Norm Detrend,Alkane Age (kyr),Alkane Depth (amcd),Alkanes (ng/g),Alkanol Age (kyr),  Alkanol Depth (amcd),Alkanol (ng/g),  SST Depth (amcd),SST Age (kyr),SST (°C),Color Age (ka),Red Norm,Green Norm,Blue Norm,Grey Norm
1722.97,82.6,81.01,1.5481,3010.0,0.0,3.486,-0.4063,882.75,42.36,242.91,0.0,0.0,0.0,44.14,922.45,13.65,3010.0,0.0,0.0,0.0,0.0
1724.03,82.65,80.61,1.4764,3015.0,0.0,3.563,-0.6381,882.97,42.37,168.82,0.0,0.0,0.0,44.16,922.9,13.62,3015.0,0.0,0.0,0.0,0.0
1725.0910000000001,82.7,78.48,1.0984,3020.0,0.0,3.4739999999999998,-0.38,883.42,42.39,256.11,0.0,0.0,0.0,44.21,924.24,13.83,3020.0,0.0,0.0,0.0,0.0
1726.151,82.75,78.44,1.0905,3025.0,0.0,3.3080000000000003,0.1052,883.87,42.41,254.31,0.0,0.0,0.0,44.23,924.8,14.44,3025.0,0.0,0.0,0.0,0.0
1727.2120000000002,82.8,75.02,0.484,3030.0,0.0,3.177,0.4872,884.76,42.45,216.0,0.0,0.0,0.0,44.25,925.36,14.54,3030.0,0.0,0.0,0.0,0.0
1728.273,82.85,78.66,1.1278,3035.0,0.0,3.13,0.6212,885.2,42.47,385.29,0.0,0.0,0.0,44.27,925.92,15.04,3035.0,0.0,0.0,0.0,0.0
1729.3329999999999,82.9,78.32,1.0668,3040.0,0.0,3.2569999999999997,0.2419,885.65,42.49,448.88,0.0,0.0,0.0,44.31,927.03,13.57,3040.0,0.0,0.0,0.0,0.0
1730.394,82.95,76.43,0.7312,3045.0,0.0,3.333,0.0131,886.1,42.51,247.37,0.0,0.0,0.0,44.33,927.59,14.36,3045.0,0.0,0.0,0.0,0.0
1731.455,83.0,76.37,0.7198,3050.0,0.0,3.323,0.038,886.99,42.55,397.48,0.0,0.0,0.0,44.35,928.15,13.77,3050.0,0.0,0.0,0.0,0.0
1732.515,83.05,77.08,0.8447,3055.0,0.0,3.182,0.4494,887.43,42.57,272.1,0.0,0.0,0.0,44.37,928.7,13.82,3055.0,0.0,0.0,0.0,0.0
1733.576,83.1,76.25,0.6969,3060.0,0.0,2.98,1.0409,887.88,42.59,277.23,0.0,0.0,0.0,44.41,929.82,15.2,3060.0,0.0,0.0,0.0,0.0
1734.636,83.15,76.14,0.6766,3065.0,0.0,3.06,0.8003,888.33,42.61,415.98,0.0,0.0,0.0,44.43,930.38,14.59,3065.0,0.0,0.0,0.0,0.0
1735.6970000000001,83.2,75.42,0.5482,3070.0,0.0,3.088,0.713,889.0,42.64,220.66,0.0,0.0,0.0,44.45,930.93,14.59,3070.0,0.0,0.0,0.0,0.0
1736.7579999999998,83.25,74.64,0.4093,3075.0,0.0,3.105,0.6583,889.44,42.66,204.48,0.0,0.0,0.0,44.47,931.49,13.29,3075.0,0.0,0.0,0.0,0.0
1737.818,83.3,72.97,0.1127,3080.0,0.0,3.0210000000000004,0.9016,889.89,42.68,356.22,0.0,0.0,0.0,44.51,932.61,11.13,3080.0,0.0,0.0,0.0,0.0
1738.879,83.35,71.28,-0.1874,3085.0,0.0,2.995,0.9737,890.33,42.7,241.22,0.0,0.0,0.0,44.53,933.16,14.02,3085.0,0.0,0.0,0.0,0.0
1739.9389999999999,83.4,67.17,-0.9161,3090.0,0.0,3.201,0.3612,891.23,42.74,299.61,0.0,0.0,0.0,44.55,933.72,14.35,3090.0,0.0,0.0,0.0,0.0
1741.0,83.45,65.17,-1.2711,3095.0,0.0,3.188,0.395,891.67,42.76,231.45,0.0,0.0,0.0,44.57,934.28,14.92,3095.0,0.0,0.0,0.0,0.0
1742.0610000000001,83.5,63.9,-1.4969,3100.0,0.0,3.056,0.7799,892.12,42.78,375.12,0.0,0.0,0.0,44.61,935.39,14.0,3100.0,0.0,0.0,0.0,0.0
1743.121,83.55,64.94,-1.3135,3105.0,0.0,3.092,0.6691,892.56,42.8,355.5,0.0,0.0,0.0,44.63,935.95,15.72,3105.0,0.0,0.0,0.0,0.0
1744.182,83.6,66.57,-1.0257,3110.0,0.0,3.147,0.5022,893.46,42.84,259.0,0.0,0.0,0.0,44.66,936.79,15.86,3110.0,0.0,0.0,0.0,0.0
1745.2420000000002,83.65,64.02,-1.4781,3115.0,0.0,3.258,0.1701,893.68,42.85,210.41,0.0,0.0,0.0,44.68,937.35,17.4,3115.0,0.0,0.0,0.0,0.0
1746.3029999999999,83.7,65.68,-1.1849,3120.0,0.0,3.301,0.0386,894.13,42.87,315.56,0.0,0.0,0.0,44.72,938.46,15.2,3120.0,0.0,0.0,0.0,0.0
1747.364,83.75,64.63,-1.3717,3125.0,0.0,3.36,-0.14,894.57,42.89,231.32,0.0,0.0,0.0,44.74,939.02,15.49,3125.0,0.0,0.0,0.0,0.0
1748.465,83.8,66.06,-1.1193,3130.0,0.0,3.352,-0.121,895.46,42.93,222.14,0.0,0.0,0.0,44.76,939.58,16.08,3130.0,0.0,0.0,0.0,0.0
1749.626,83.85,67.11,-0.9343,3135.0,0.0,3.5060000000000002,-0.58,895.91,42.95,180.47,0.0,0.0,0.0,44.78,940.13,15.21,3135.0,0.0,0.0,0.0,0.0
1750.7879999999998,83.9,68.51,-0.6872,3140.0,0.0,3.3960000000000004,-0.26,896.36,42.97,232.58,0.0,0.0,0.0,44.82,941.25,15.44,3140.0,0.0,0.0,0.0,0.0
